race_cat,race,age_bin,age_cat,date,date_start,age,pop,all_covid,all_pop,covid_prop,pop_prop,week_from_start,lm_mean,lm_se,lm_lower,lm_upper
Asian,asian,40-64,40 to 64,2021-07-13,2021-07-07,40,2016060,40,12153908,0.125,0.1658775103448208,71,0.08291076125060748,0.014322293430001598,0.05483906612780434,0.11098245637341062
Asian,asian,40-64,40 to 64,2021-07-20,2021-07-14,40,2016369,58,12153096,0.06896551724137931,0.16591401894628333,72,0.08250095419640857,0.016404013447045614,0.05034908784019917,0.11465282055261797
Asian,asian,40-64,40 to 64,2021-07-27,2021-07-21,40,2016678,85,12152284,0.08235294117647059,0.16595053242666152,73,0.0822266147294266,0.018873129158083975,0.045235281579582017,0.1192179478792712
Asian,asian,65+,65 and over,2020-03-10,2020-03-04,65,966134,4,5928062,0.25,0.16297636563180345,1,0.2577085046233832,0.02297433986365173,0.2126787984906258,0.3027382107561406
Asian,asian,65+,65 and over,2020-03-17,2020-03-11,65,966992,14,5931069,0.14285714285714285,0.16303839999163725,2,0.24149914245165774,0.019623711226420797,0.203036668447873,0.2799616164554425
Asian,asian,65+,65 and over,2020-03-24,2020-03-18,65,967850,48,5934075,0.1875,0.16310039896698306,3,0.22659388252035784,0.01667569142655331,0.19390952732431335,0.25927823771640235
Asian,asian,65+,65 and over,2020-03-31,2020-03-25,65,968707,133,5937081,0.13533834586466165,0.16316216672806047,4,0.21293255542793896,0.014115572139591836,0.18526603403433894,0.24059907682153897
Asian,asian,65+,65 and over,2020-04-07,2020-04-01,65,969566,266,5940088,0.17669172932330826,0.16322418119058169,5,0.20045621685298534,0.011931314859786553,0.17707083972780369,0.223841593978167
Asian,asian,65+,65 and over,2020-04-14,2020-04-08,65,970423,348,5943095,0.21264367816091953,0.16328579637377494,6,0.18910714755421018,0.010112985998224917,0.16928569499768933,0.20892860011073103
Asian,asian,65+,65 and over,2020-04-21,2020-04-15,65,971282,411,5946101,0.19951338199513383,0.16334771306440976,7,0.17882885337045556,0.008650708419268198,0.1618734648686899,0.19578424187222124
Asian,asian,65+,65 and over,2020-04-28,2020-04-22,65,972137,424,5949108,0.19339622641509435,0.1634088673461635,8,0.16956606522069245,0.007530193741219447,0.15480688548790233,0.18432524495348257
Asian,asian,65+,65 and over,2020-05-05,2020-04-29,65,972995,418,5952114,0.13875598086124402,0.16347049132459493,9,0.16126473910402075,0.0067260232350744775,0.14808173356327478,0.17444774464476673
Asian,asian,65+,65 and over,2020-05-12,2020-05-06,65,973854,441,5955122,0.14058956916099774,0.16353216609164345,10,0.1538720560996693,0.006195871585753582,0.1417281477915923,0.16601596440774632
Asian,asian,65+,65 and over,2020-05-19,2020-05-13,65,974711,397,5958128,0.181360201511335,0.16359349782347743,11,0.14733642236699576,0.005881196340692445,0.13580927753923858,0.15886356719475295
Asian,asian,65+,65 and over,2020-05-26,2020-05-20,65,975569,361,5961134,0.18282548476454294,0.16365493545355633,12,0.14160746914548678,0.005716360588130405,0.1304034023927512,0.15281153589822236
Asian,asian,65+,65 and over,2020-06-02,2020-05-27,65,976427,314,5964140,0.15286624203821655,0.16371631115299104,13,0.13663605275475793,0.005640771969152502,0.12558013969521903,0.14769196581429683
Asian,asian,65+,65 and over,2020-06-09,2020-06-03,65,977284,318,5967147,0.11320754716981132,0.16377742998454706,14,0.13237425459455354,0.005606937048297479,0.12138465797989048,0.1433638512092166
Asian,asian,65+,65 and over,2020-06-16,2020-06-10,65,978142,321,5970153,0.12149532710280374,0.16383868219122694,15,0.12877538114474701,0.005582391315652564,0.11783389416606799,0.13971686812342604
Asian,asian,65+,65 and over,2020-06-23,2020-06-17,65,978999,333,5973160,0.15015015015015015,0.16389967789243884,16,0.1257939639653406,0.005547728822975174,0.11492041547230925,0.13666751245837194
Asian,asian,65+,65 and over,2020-06-30,2020-06-24,65,979857,402,5976166,0.10945273631840796,0.1639608069789226,17,0.12338575969646542,0.005493400112526404,0.11261869547591367,0.1341528239170172
Asian,asian,65+,65 and over,2020-07-07,2020-07-01,65,980634,465,5978827,0.10967741935483871,0.1640177914497275,18,0.12150775005838155,0.005416726468269043,0.11089096618057423,0.13212453393618886
Asian,asian,65+,65 and over,2020-07-14,2020-07-08,65,981542,579,5981932,0.11226252158894647,0.16408444629594585,19,0.1201181418514779,0.0053195625040992735,0.10969179934344332,0.13054448435951246
Asian,asian,65+,65 and over,2020-07-21,2020-07-15,65,982450,635,5985038,0.09448818897637795,0.16415100455502538,20,0.1191763669562725,0.0052065736158826365,0.10897148266914253,0.12938125124340247
Asian,asian,65+,65 and over,2020-07-28,2020-07-22,65,983357,690,5988141,0.0927536231884058,0.16421740904230545,21,0.11864308233341196,0.005083964900283389,0.10867851112885651,0.1286076535379674
Asian,asian,65+,65 and over,2020-08-04,2020-07-29,65,984266,734,5991247,0.11171662125340599,0.16428399630327375,22,0.11848017002367203,0.004958504089951458,0.10876150200736717,0.1281988380399769
Asian,asian,65+,65 and over,2020-08-11,2020-08-05,65,985172,658,5994350,0.12462006079027356,0.16435009634072084,23,0.11865073714795726,0.0048367278663963885,0.10917075052982034,0.1281307237660942
Asian,asian,65+,65 and over,2020-08-18,2020-08-12,65,986080,605,5997456,0.1371900826446281,0.16441637921145233,24,0.11911911590730123,0.004724275295220935,0.1098595363286682,0.12837869548593425
Asian,asian,65+,65 and over,2020-08-25,2020-08-19,65,986987,561,6000561,0.12299465240641712,0.1644824542238634,25,0.11985086358286637,0.004625342769723941,0.11078519175420745,0.12891653541152528
Asian,asian,65+,65 and over,2020-09-01,2020-08-26,65,987895,519,6003664,0.14065510597302505,0.16454868227135963,26,0.12081276253594382,0.0045422928944554115,0.11190986846281122,0.1297156566090764
Asian,asian,65+,65 and over,2020-09-08,2020-09-02,65,988803,397,6006769,0.11083123425692695,0.164614787084371,27,0.12197282020795386,0.004475464380421487,0.11320091002232774,0.13074473039357998
Asian,asian,65+,65 and over,2020-09-15,2020-09-09,65,989710,364,6009874,0.16758241758241757,0.1646806571984704,28,0.1233002691204458,0.004423214303455789,0.11463076908567245,0.13196976915521913
Asian,asian,65+,65 and over,2020-09-22,2020-09-16,65,990616,304,6012978,0.16447368421052633,0.16474632037569403,29,0.1247655668750975,0.004382183599787585,0.11617648701951383,0.13335464673068118
Asian,asian,65+,65 and over,2020-09-29,2020-09-23,65,991525,299,6016084,0.12709030100334448,0.16481235966785038,30,0.12634039615371584,0.004347730884505575,0.1178188436200849,0.13486194868734677
Asian,asian,65+,65 and over,2020-10-06,2020-09-30,65,992433,262,6019188,0.12213740458015267,0.16487821945418552,31,0.12799766471823684,0.004314451207804123,0.11954134035094076,0.1364539890855329
Asian,asian,65+,65 and over,2020-10-13,2020-10-07,65,993340,242,6022292,0.128099173553719,0.16494384530009504,32,0.12971150541072507,0.004276696619192154,0.12132918003710845,0.1380938307843417
Asian,asian,65+,65 and over,2020-10-20,2020-10-14,65,994249,206,6025397,0.1407766990291262,0.16500970807400742,33,0.13145727615337438,0.004229039367190264,0.12316835899368146,0.13974619331306729
Asian,asian,65+,65 and over,2020-10-27,2020-10-21,65,995156,226,6028503,0.1415929203539823,0.16507514386241492,34,0.13321155994850714,0.00416665180670791,0.12504492240735965,0.14137819748965463
Asian,asian,65+,65 and over,2020-11-03,2020-10-28,65,996061,242,6031607,0.09504132231404959,0.16514023542979508,35,0.13495216487857487,0.004085606640057215,0.12694437586406274,0.142959953893087
